id,description,brand,model,mp,optical_zoom,digital_zoom,screen_size,price,type
15753,nikon coolpix s4000 12 mp digital camera with 4x optical zoom vr 3 0 touch lcd | ebay,nikon,s4000,12.0,4.0,,3.0,,point & shoot
15754,nikon coolpix s4000 12 0 mp digital camera black free gifts | ebay,nikon,s4000,12.0,4.0,,3.0,,point & shoot
15755,nikon coolpix s4000 12 0 mp digital camera bronze | ebay,nikon,s4000,12.0,4.0,,3.0,,point & shoot
15756,nikon coolpix s4000 12mp digital camera on sale for $117.98,nikon,s4000,12.0,,,,,point-and-shoot
15757,"nikon coolpix s4000 price in india with offers, reviews & full specifications | pricedekho.com",nikon,s4000,,4.0,12.0,3.0,,
15758,"nikon coolpix s4000 digital camera prices, shopping comparison for nikon s 4000, buy online in india - shopmania",nikon,s4000,,,4.0,,,
15759,nikon coolpix s4100 14 0 mp digital camera plum 26261 | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15760,nikon coolpix s4100 14 0 mp digital camera plum 26261 | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15761,nikon coolpix s4100 14 0 mp digital camera with touchscreen plum | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15762,nikon coolpix s4100 14 0 mp digital camera plum 26261 | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15763,nikon coolpix s4100 14 0 mp digital camera plum for parts repair only | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15764,nikon coolpix s4100 14 0 mp digital camera red | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15765,nikon coolpix s4100 14 0 mp digital camera plum 26261 | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15766,nikon coolpix s4100 14 0 mp digital camera plum 26261 | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15767,nikon coolpix camera s4100 v2 40 18208262601 | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15768,nikon coolpix 14mp digital camera touchscreen lcd red s4100 chop 4m9sz1 18208262601 | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15769,nikon coolpix s4100 14 0 mp digital camera red 18208262601 | ebay,nikon,s4100,14.0,5.0,,3.0,,point & shoot
15770,"nikon coolpix s4150 point & shoot digital camera black price in india with offers, reviews & full specifications | pricedekho.com",nikon,s4150,,5.0,4.0,3.0,,
15771,"nikon s4150 digital camera prices, shopping comparison for nikon s 4150, buy online in india - shopmania",nikon,s4150,,,4.0,,,
15772,nikon coolpix s4200 16 0 mp digital camera black 018208263370 | ebay,nikon,s4200,16.0,6.0,,3.0,,point & shoot
15773,nikon coolpix s4200 digital camera 018208263370 | ebay,nikon,s4200,16.0,6.0,,3.0,,point & shoot
15774,"nikon coolpix s4200 price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",nikon,s4200,,6.0,4.0,,,
15775,"nikon s4200 digital camera prices, shopping comparison for nikon s 4200, buy online in india - shopmania",nikon,s4200,,,4.0,,118.28,
15776,nikon coolpix 16 0 megapixels touch screen 6 x wide optimal zoom camera 32001600 | ebay,nikon,s4300,16.0,6.0,,,,point & shoot
15777,nikon coolpix s4300 digital camera 16mp plum 018208263325 | ebay,nikon,s4300,16.0,6.0,,3.0,,point & shoot
15778,nikon coolpix s4300 16 0 mp digital camera red 018208263325 | ebay,nikon,s4300,16.0,6.0,,3.0,,point & shoot
15779,nikon coolpix s4300 red 018208131303 | ebay,nikon,s4300,,,,,,
15780,nikon coolpix s4300 16 0 mp digital camera plum 018208263325 | ebay,nikon,s4300,16.0,6.0,,3.0,,point & shoot
15781,nikon coolpix s4300 16 0 mp digital camera silver 018208131303 | ebay,nikon,s4300,16.0,6.0,,3.0,,point & shoot
15782,nikon coolpix s4300 16 0 mp digital camera black | ebay,nikon,s4300,16.0,6.0,,3.0,,point & shoot
15783,nikon coolpix s4300 digital camera 16mp plum 018208263325 | ebay,nikon,s4300,16.0,6.0,,3.0,,point & shoot
15784,nikon coolpix s4300 16 0 mp digital camera black | ebay,nikon,s4300,16.0,6.0,,3.0,,point & shoot
15785,nikon coolpix s4300 16 0 mp digital camera plum 018208263325 | ebay,nikon,s4300,16.0,6.0,,3.0,,point & shoot
15786,"nikon coolpix s4300 price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",nikon,s4300,,6.0,4.0,,,
15787,"nikon coolpix s4300 point & shoot digital camera black price in india with offers, reviews & full specifications | pricedekho.com",nikon,s4300,,,4.0,3.0,,
15788,nikon coolpix s4300 point & shoot digital camera silver price in india with offers & full specifications | pricedekho.com,nikon,s4300,,,,3.0,,
15789,nikon coolpix s4300 - price comparison & reviews - digital cameras - australia,nikon,s4300,,,,,,compact
15790,"nikon coolpix s4300 digital camera prices, shopping comparison for nikon s 4300, buy online in india - shopmania",nikon,s4300,,,4.0,,118.41,
15791,"nikon coolpix s4400 price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",nikon,s4400,,6.0,4.0,,,
15792,nikon coolpix s4400 point & shoot digital camera black price in india with offers & full specifications | pricedekho.com,nikon,s4400,,,,,,
15793,"nikon coolpix s4400 digital camera prices, shopping comparison for nikon s 4400, buy online in india - shopmania",nikon,s4400,,,,,101.46,
15794,nikon camera coolpix s5 u1 01 | ebay,nikon,s5,6.0,3.0,,2.5,,point & shoot
15795,nikon coolpix s5 | ebay,nikon,s5,6.0,3.0,,,,
15796,nikon coolpix s5 6 0 mp digital camera gloss silver vaa550e1 | ebay,nikon,s5,6.0,3.0,,2.5,,point & shoot
15797,nikon coolpix s5 6 0 mp digital camera gloss silver | ebay,nikon,s5,6.0,3.0,,2.5,,point & shoot
15798,nikon coolpix s5 6mp digital camera on sale for $149.03,nikon,s5,6.0,,,,255.98,
15799,nikon coolpix s50 7 2 mp digital camera red 0018208255696 | ebay,nikon,s50,7.2,3.0,,3.0,,point & shoot
15800,nikon coolpix s50 7 2 mp digital camera matte black 0018208255580 | ebay,nikon,s50,7.2,3.0,,3.0,,point & shoot
15801,nikon coolpix s50 7 2 mp digital camera matte black 0018208255580 | ebay,nikon,s50,7.2,3.0,,3.0,,point & shoot
15802,nikon coolpix s50 7 2 megapixel digital camera matte black in original box 0018208255580 | ebay,nikon,s50,7.2,3.0,,3.0,,point & shoot
15803,nikon coolpix s500  new zealand prices - priceme,nikon,s500,,,,,,
15804,nikon coolpix s50c 7 2 mp digital camera silver 018208255573 | ebay,nikon,s50c,7.2,3.0,,3.0,,point & shoot
15805,nikon coolpix camera s51 v0 5 018208255788 | ebay,nikon,s51,8.1,3.0,,3.0,,point & shoot
15806,nikon coolpix s51 8 1 mp digital camera black 018208255740 | ebay,nikon,s51,8.1,3.0,,3.0,,point & shoot
15807,nikon coolpix s51 digital camera | ebay,nikon,s51,8.1,3.0,,3.0,,point & shoot
15808,nikon coolpix s51 8 1 mp digital camera silver | ebay,nikon,s51,8.1,3.0,,3.0,,point & shoot
15809,nikon coolpix s51 8 1 mp digital camera blue | ebay,nikon,s51,8.1,3.0,,3.0,,point & shoot
15810,nikon coolpix s51 8.1mp digital camera on sale for $179.49,nikon,s51,8.1,,,,204.92,
15811,nikon coolpix s510 8 1 mp digital camera silver | ebay,nikon,s510,8.1,3.0,,2.5,,point & shoot
15812,nikon coolpix s5100 compact digital camera (blue) reviews | buzzillions.com,nikon,s5100,12.0,5.0,4.0,,,
15813,"nikon s5100 point & shoot camera best price in india 2014, specs and review | valid in delhi, mumbai, bangalore, hyderabad, chennai, kolkata, ahmedabad, surat | price-hunt",nikon,s5100,,5.0,2.0,,,
15814,"nikon coolpix s5100 digital camera prices, shopping comparison for nikon s 5100, buy online in india - shopmania",nikon,s5100,,,2.0,2.7,,
15815,nikon coolpix s52 digital camera (red) reviews | buzzillions.com,nikon,s52,,,,,,
15816,nikon coolpix s52 9 0 mp digital camera purplish black | ebay,nikon,s52,9.0,3.0,,3.0,,point & shoot
15817,nikon coolpix s52 9 0 mp green digital camera complete with box 18208261079 | ebay,nikon,s52,9.0,3.0,,,,mini digital camera
15818,nikon coolpix s52 9 0 mp digital camera matte black case tripod more | ebay,nikon,s52,9.0,3.0,,3.0,,point & shoot
15819,nikon coolpix s52 9mp digital camera zoom on sale for $258.49,nikon,s52,9.0,,,,172.49,
15820,"nikon coolpix s5200 16 megapixel compact camera - blue (3"" lcd - 6x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hdmi - hd movie mode) price comparison at buy.net",nikon,s5200,16.0,,4.0,,,compact camera
15821,"nikon coolpix s5200 plum digital camera (16 mp, 6x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,s5200,16.0,,,,,point & shoot digital camera
15822,jbl jembe two piece entertainment speakers 018208262991 | ebay,nikon,s5200,16.0,6.0,,3.0,,
15823,nikon coolpix s5200 wi fi digital camera plum usa 018208132867 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15824,nikon coolpix 16mp digital camera photo video hd 6x wifi plum s5200 chop 4m2kz2 018208132867 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15825,nikon coolpix s5200 wi fi cmos digital camera with 6x zoom lens plum ee04653 018208132867 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15826,nikon coolpix 16mp digital camera photo video hd 6x wifi plum s5200 chop 4m2kz7 018208132867 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15827,"nikon coolpix s5200 16 0 mp wi fi cmos digital camera with 6x zoom lens 3"" lcd | ebay",nikon,s5200,16.0,6.0,,3.0,,point & shoot
15828,nikon coolpix 16mp digital camera photo video hd 6x wifi plum s5200 chop 4m2kz4 018208132867 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15829,nikon coolpix s5200 16mp digital camera plum 018208132867 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15830,new nikon coolpix s5200 16 megapixel compact camera blue 26376 w case 8 gb sd 018208263769 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15831,nikon coolpix s5200 16 0 mp digital camera black kit w efl 4 6 27 6 mm 018208263745 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15832,new nikon coolpix s5200 16 0 mp digital camera red and plum 018208132867 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15833,nikon plum coolpix s5200 digital camera 018208132867 | ebay,nikon,s5200,16.0,6.0,,,,
15834,new nikon coolpix s5200 16 megapixel compact camera blue 26376 w case 8 gb sd 018208263769 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15835,nikon coolpix s5200 16mp digital camera 6x zoom plum 26377 018208132867 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15836,nikon coolpix s5200 16mp digital camera 6x zoom plum 26377 018208132867 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15837,nikon coolpix s5200 wi fi digital camera plum usa 018208132867 | ebay,nikon,s5200,16.0,6.0,,3.0,,point & shoot
15838,"nikon coolpix s5200 price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",nikon,s5200,,6.0,4.0,,,
15839,"nikon coolpix s5200 point & shoot digital camera black price in india with offers, reviews & full specifications | pricedekho.com",nikon,s5200,,6.0,4.0,3.0,,
15840,"nikon coolpix s5200 digital camera prices, shopping comparison for nikon s 5200, buy online in india - shopmania",nikon,s5200,,,4.0,,101.32,
15841,nikon coolpix s52c 9 0 mp digital camera purplish black | ebay,nikon,s52c,9.0,3.0,,3.0,,point & shoot
15842,new in box nikon coolpix s5300 16 0 mp digital camera plum with accessories | ebay,nikon,s5300,16.0,8.0,,3.0,,point & shoot
15843,"nikon coolpix s5300 price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",nikon,s5300,,8.0,4.0,,,
15844,"nikon coolpix s5300 point & shoot camera best price in india 2014, specs and review | valid in delhi, mumbai, bangalore, hyderabad, chennai, kolkata, ahmedabad, surat | price-hunt",nikon,s5300,,8.0,4.0,,,
15845,"nikon coolpix s5300 point & shoot digital camera black price in india with offers, reviews & full specifications | pricedekho.com",nikon,s5300,,,,,,
15846,"nikon coolpix s5300 digital camera prices, shopping comparison for nikon s 5300, buy online in india - shopmania",nikon,s5300,,,2.0,,81.87,
15847,nikon coolpix s5300 digital camera (black) | uk digital cameras,nikon,s5300,,8.0,,,,
15848,nikon coolpix s5300 digital camera (plum) | uk digital cameras,nikon,s5300,,8.0,,,,
15849,"nikon coolpix digital camera, s5300 - walmart.com",nikon,s5300,,8.0,4.0,,,
15850,nikon coolpix s5300 digital camera - black (vna540e1) - wex photographic,nikon,s5300,16.0,,,,,
15851,nikon coolpix s5300 digital camera - plum (vna542e1) - wex photographic,nikon,s5300,16.0,,,,,
15852,coolpix s550 refurbished | nikon coolpix s550 digital camera (graphite black) reviews - buzzillions.com,nikon,s550,10.0,5.0,4.0,,,
15853,pilot nikon s550 coolpix 10mp digital camera reviews | buzzillions.com,nikon,s550,10.0,,,,,
15854,nikon coolpix s550 10mp digital camera with 5x optical zoom plum | ebay,nikon,s550,10.0,5.0,,2.5,,point & shoot
15855,nikon coolpix s550 10 0 mp digital camera graphite black | ebay,nikon,s550,10.0,5.0,,2.5,,point & shoot
15856,nikon coolpix s550 10 0 mp digital camera graphite black | ebay,nikon,s550,10.0,5.0,,2.5,,point & shoot
15857,nikon coolpix s550 10 0 mp digital camera plum | ebay,nikon,s550,10.0,5.0,,2.5,,point & shoot
15858,nikon coolpix s550 10 0 mp digital camera black | ebay,nikon,s550,10.0,5.0,,2.5,,point & shoot
15859,nikon coolpix s550 10 0 mp digital camera graphite black | ebay,nikon,s550,10.0,5.0,,2.5,,point & shoot
15860,nikon coolpix s550 10 0 mp digital camera graphite black | ebay,nikon,s550,10.0,5.0,,2.5,,point & shoot
15861,nikon coolpix s550 10 0 mp digital camera charger memory card usb battery case | ebay,nikon,s550,10.0,5.0,,2.5,,point & shoot
15862,nikon coolpix s550 10mp digital camera on sale for $278.49,nikon,s550,10.0,,,,158.69,
15863,nikon coolpix s560 10 0 mp digital camera graphite black | ebay,nikon,s560,10.0,5.0,,2.7,,point & shoot
15864,nikon coolpix s560 10 0 mp digital camera graphite black | ebay,nikon,s560,10.0,5.0,,2.7,,point & shoot
15865,nikon coolpix s560 10 0 mp digital camera graphite black works great | ebay,nikon,s560,10.0,5.0,,2.7,,point & shoot
15866,nikon coolpix s560 10 0 mp digital camera black | ebay,nikon,s560,10.0,5.0,,2.7,,point & shoot
15867,optimal configure coolpix s570 | nikon coolpix s570 digital camera (red) reviews - buzzillions.com,nikon,s570,12.0,5.0,4.0,,,
15868,nikon coolpix s570 12 0 mp digital camera black | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15869,nikon digital camera coolpix s570 and extra battery | ebay,nikon,s570,,,,,,
15870,nikon coolpix s570 12 0 mp digital camera black | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15871,nikon coolpix s570 12 0 mp digital camera black | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15872,nikon coolpix s570 12 0 mp digital camera black | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15873,nikon coolpix s570 12 0 mp digital camera black w case charger and adaptor | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15874,nikon coolpix s570 12 0 mp digital camera black | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15875,nikon coolpix s570 black nearly new in package complete | ebay,nikon,s570,,,,,,
15876,nikon coolpix s570 12.0 mp digital camera - black,nikon,s570,12.0,5.0,,2.7,,point & shoot
15877,"nikon coolpix s570 2 7"" lcd 12 0 mp 5x wide zoom digital camera w accessories | ebay",nikon,s570,12.0,5.0,,2.7,,point & shoot
15878,nikon coolpix s570 12 0 mp digital camera black | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15879,nikon coolpix s570 12mp digital camera black no reserve | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15880,nikon black coolpix s570 12 0 mp 5x zoom digital camera bundle | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15881,nikon coolpix s570 12 0 mp digital camera black | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15882,nikon coolpix s570 12 0 mp digital camera black | ebay,nikon,s570,12.0,5.0,,2.7,,point & shoot
15883,nikon coolpix s570 12mp digital camera on sale for $87.69,nikon,s570,12.0,,,,124.19,point-and-shoot
15884,nikon coolpix s6 6 0 mp digital camera gray metallic | ebay,nikon,s6,6.0,3.0,,3.0,,point & shoot
15885,nikon coolpix s6 6 0 mp digital camera silver 18208255474 | ebay,nikon,s6,6.0,3.0,,3.0,,point & shoot
15886,nikon coolpix s6 6 0 mp digital camera gray metallic | ebay,nikon,s6,6.0,3.0,,3.0,,point & shoot
15887,nikon coolpix s6 6mp digital camera with 3x optical zoom wi fi capable 18208255474 | ebay,nikon,s6,6.0,3.0,,3.0,,point & shoot
15888,nikon coolpix s6 6 0 mp digital camera silver 18208255474 | ebay,nikon,s6,6.0,3.0,,3.0,,point & shoot
15889,nikon coolpix s6 6 0 mp digital camera gray metallic | ebay,nikon,s6,6.0,3.0,,3.0,,point & shoot
15890,nikon coolpix s6 6 0 mp digital camera gray metallic | ebay,nikon,s6,6.0,3.0,,3.0,,point & shoot
15891,nikon coolpix s6 6mp digital camera with 3x optical zoom wi fi capable 18208255474 | ebay,nikon,s6,6.0,3.0,,3.0,,point & shoot
15892,nikon coolpix s6 6mp digital camera on sale for $286.99,nikon,s6,6.0,,,,310.47,
15893,(not provided) | nikon coolpix s60 digital camera reviews - buzzillions.com,nikon,s60,,5.0,4.0,3.5,,
15894,nikon coolpix s60 10 0 mp digital camera crimson red case and charger bundle 18208261345 | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15895,nikon coolpix s60 10 0 mp digital touchscreen crimson red bundle special 2 18208261345 | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15896,nikon coolpix s60 10 0 mp digital camera arctic white | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15897,nikon coolpix s60 10 0 mp digital camera crimson red we ship fast 18208261345 | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15898,nikon coolpix s60 10 0 mp digital camera burgundy | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15899,nikon coolpix s60 10 0mp bordeaux red brown 18208261345 | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15900,nikon coolpix s60 10 0 mp digital camera crimson red no reserve price 18208261345 | ebay,nikon,s60,10.0,5.0,,,,point & shoot
15901,nikon coolpix s60 10 0 mp digital camera crimson red 18208261345 | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15902,nikon coolpix s60 10 0 mp digital camera crimson red 18208261345 | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15903,nikon coolpix s60 10 0 mp digital camera crimson red 18208261345 | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15904,nikon coolpix s60 10 0 mp digital camera burgundy | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15905,nikon coolpix s60 10 0 mp digital camera crimson red 18208261345 | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15906,nikon coolpix s60 10 0 mp digital camera burgundy | ebay,nikon,s60,10.0,5.0,,3.5,,point & shoot
15907,nikon coolpix s60 10mp digital camera on sale for $194.49,nikon,s60,10.0,,,,227.69,
15908,"nikon coolpix s600 ,ebay | nikon coolpix s600 digital camera - 10mp reviews - buzzillions.com",nikon,s600,10.0,4.0,4.0,,,
15909,nikon coolpix s600 10 0 mp digital camera titanium silver 0018208914548 | ebay,nikon,s600,10.0,4.0,,2.7,,point & shoot
15910,nikon coolpix s600 10mp digital camera on sale for $288.49,nikon,s600,10.0,,,,206.99,
15911,nikon coolpix s6000 14 2 mp digital camera free shipping | ebay,nikon,s6000,14.2,7.0,,2.7,,point & shoot
15912,nikon coolpix s6000 14 2 mp digital camera champagne silver | ebay,nikon,s6000,14.2,7.0,,2.7,,point & shoot
15913,nikon coolpix camera s6000 p1 24 read fully | ebay,nikon,s6000,14.2,7.0,,2.7,,point & shoot
